company,fiscal_year,period_end,filing_url,total_revenue_musd,net_income_musd,total_assets_musd,total_liabilities_musd,cash_flow_from_operating_activities_musd
Microsoft,2023,2023-06-30,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm,211915,72361,411976,205753,87582
Microsoft,2024,2024-06-30,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,245122,88136,512163,243686,118548
Microsoft,2025,2025-06-30,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,281724,101832,619003,275524,136162
Tesla,2023,2023-12-31,https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/tsla-20231231.htm,96773,14999,106618,44318,13256
Tesla,2024,2024-12-31,https://www.sec.gov/Archives/edgar/data/1318605/000162828025003063/tsla-20241231.htm,97690,7147,122070,49157,14923
Tesla,2025,2025-12-31,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003952/tsla-20251231.htm,94830,3790,135000,52863,14747
Apple,2023,2023-09-30,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm,383285,96995,352583,290437,110543
Apple,2024,2024-09-28,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,391035,93736,364980,308030,118254
Apple,2025,2025-09-27,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,416161,112010,359241,285508,111482
